<<<<<<< HEAD
seriesID,year,periodName,latest,value
LNS11000000,2024,November,true,168286
LNS12000000,2024,October,,168479
LNS13000000,2024,September,,168699
LNS14000000,2024,August,,168549
CES0000000001,2024,July,,168429
CES0500000002,2024,June,,168009
CES0500000007,2024,May,,167732
CES0500000003,2024,April,,167982
CES0500000008,2024,March,,167895
CIU1010000000000A,2024,February,,167426
,2024,January,,167276
,2023,December,,167451
,2023,November,,168127
,2023,October,,167723
,2023,September,,167897
,2023,August,,167840
,2023,July,,167113
,2023,June,,167000
,2023,May,,166823
,2023,April,,166678
,2023,March,,166690
,2023,February,,166263
,2023,January,,165871
,2024,November,true,161141
,2024,October,,161496
,2024,September,,161864
,2024,August,,161434
,2024,July,,161266
,2024,June,,161199
,2024,May,,161083
,2024,April,,161491
,2024,March,,161466
,2024,February,,160968
,2024,January,,161152
,2023,December,,161183
,2023,November,,161866
,2023,October,,161280
,2023,September,,161550
,2023,August,,161500
,2023,July,,161209
,2023,June,,161004
,2023,May,,160707
,2023,April,,160962
,2023,March,,160824
,2023,February,,160301
,2023,January,,160152
,2024,November,true,7145
,2024,October,,6984
,2024,September,,6834
,2024,August,,7115
,2024,July,,7163
,2024,June,,6811
,2024,May,,6649
,2024,April,,6492
,2024,March,,6429
,2024,February,,6458
,2024,January,,6124
,2023,December,,6268
,2023,November,,6262
,2023,October,,6443
,2023,September,,6347
,2023,August,,6340
,2023,July,,5904
,2023,June,,5997
,2023,May,,6117
,2023,April,,5715
,2023,March,,5866
,2023,February,,5962
,2023,January,,5719
,2024,November,true,4.2
,2024,October,,4.1
,2024,September,,4.1
,2024,August,,4.2
,2024,July,,4.3
,2024,June,,4.1
,2024,May,,4.0
,2024,April,,3.9
,2024,March,,3.8
,2024,February,,3.9
,2024,January,,3.7
,2023,December,,3.7
,2023,November,,3.7
,2023,October,,3.8
,2023,September,,3.8
,2023,August,,3.8
,2023,July,,3.5
,2023,June,,3.6
,2023,May,,3.7
,2023,April,,3.4
,2023,March,,3.5
,2023,February,,3.6
,2023,January,,3.4
,2024,November,true,159288
,2024,October,,159061
,2024,September,,159025
,2024,August,,158770
,2024,July,,158692
,2024,June,,158548
,2024,May,,158430
,2024,April,,158214
,2024,March,,158106
,2024,February,,157796
,2024,January,,157560
,2023,December,,157304
,2023,November,,157014
,2023,October,,156832
,2023,September,,156667
,2023,August,,156421
,2023,July,,156211
,2023,June,,156027
,2023,May,,155787
,2023,April,,155484
,2023,March,,155206
,2023,February,,155060
,2023,January,,154773
,2024,November,true,34.3
,2024,October,,34.2
,2024,September,,34.3
,2024,August,,34.3
,2024,July,,34.2
,2024,June,,34.3
,2024,May,,34.3
,2024,April,,34.3
,2024,March,,34.4
,2024,February,,34.3
,2024,January,,34.2
,2023,December,,34.4
,2023,November,,34.4
,2023,October,,34.3
,2023,September,,34.4
,2023,August,,34.4
,2023,July,,34.3
,2023,June,,34.4
,2023,May,,34.4
,2023,April,,34.3
,2023,March,,34.4
,2023,February,,34.5
,2023,January,,34.6
,2024,November,true,33.7
,2024,October,,33.7
,2024,September,,33.7
,2024,August,,33.7
,2024,July,,33.7
,2024,June,,33.7
,2024,May,,33.7
,2024,April,,33.7
,2024,March,,33.8
,2024,February,,33.7
,2024,January,,33.6
,2023,December,,33.8
,2023,November,,33.7
,2023,October,,33.8
,2023,September,,33.8
,2023,August,,33.8
,2023,July,,33.8
,2023,June,,33.8
,2023,May,,33.8
,2023,April,,33.8
,2023,March,,33.9
